n	lambda	p1	q1	p2	q2	arrangement	dim_lambda	jointfix_dim	commutator_rank
4	[4]	1	2	1	3	Nested	1	1	0
4	[4]	1	2	1	4	Nested	1	1	0
4	[4]	1	2	2	3	Adjacent	1	1	0
4	[4]	1	2	2	4	Adjacent	1	1	0
4	[4]	1	2	3	4	Separated	1	1	0
4	[4]	1	3	1	4	Nested	1	1	0
4	[4]	1	3	2	3	Nested	1	1	0
4	[4]	1	3	2	4	Overlapping	1	1	0
4	[4]	1	3	3	4	Adjacent	1	1	0
4	[4]	1	4	2	3	Nested	1	1	0
4	[4]	1	4	2	4	Nested	1	1	0
4	[4]	1	4	3	4	Nested	1	1	0
4	[4]	2	3	2	4	Nested	1	1	0
4	[4]	2	3	3	4	Adjacent	1	1	0
4	[4]	2	4	3	4	Nested	1	1	0
4	[3, 1]	1	2	1	3	Nested	3	1	2
4	[3, 1]	1	2	1	4	Nested	3	0	2
4	[3, 1]	1	2	2	3	Adjacent	3	1	2
4	[3, 1]	1	2	2	4	Adjacent	3	1	2
4	[3, 1]	1	2	3	4	Separated	3	1	0
4	[3, 1]	1	3	1	4	Nested	3	0	2
4	[3, 1]	1	3	2	3	Nested	3	1	2
4	[3, 1]	1	3	2	4	Overlapping	3	1	0
4	[3, 1]	1	3	3	4	Adjacent	3	1	2
4	[3, 1]	1	4	2	3	Nested	3	1	0
4	[3, 1]	1	4	2	4	Nested	3	0	2
4	[3, 1]	1	4	3	4	Nested	3	0	2
4	[3, 1]	2	3	2	4	Nested	3	1	2
4	[3, 1]	2	3	3	4	Adjacent	3	1	2
4	[3, 1]	2	4	3	4	Nested	3	1	2
4	[2, 2]	1	2	1	3	Nested	2	0	2
4	[2, 2]	1	2	1	4	Nested	2	1	0
4	[2, 2]	1	2	2	3	Adjacent	2	0	2
4	[2, 2]	1	2	2	4	Adjacent	2	0	2
4	[2, 2]	1	2	3	4	Separated	2	1	0
4	[2, 2]	1	3	1	4	Nested	2	1	0
4	[2, 2]	1	3	2	3	Nested	2	0	2
4	[2, 2]	1	3	2	4	Overlapping	2	1	0
4	[2, 2]	1	3	3	4	Adjacent	2	0	2
4	[2, 2]	1	4	2	3	Nested	2	1	0
4	[2, 2]	1	4	2	4	Nested	2	1	0
4	[2, 2]	1	4	3	4	Nested	2	1	0
4	[2, 2]	2	3	2	4	Nested	2	0	2
4	[2, 2]	2	3	3	4	Adjacent	2	0	2
4	[2, 2]	2	4	3	4	Nested	2	0	2
4	[2, 1, 1]	1	2	1	3	Nested	3	0	2
4	[2, 1, 1]	1	2	1	4	Nested	3	0	2
4	[2, 1, 1]	1	2	2	3	Adjacent	3	0	2
4	[2, 1, 1]	1	2	2	4	Adjacent	3	0	2
4	[2, 1, 1]	1	2	3	4	Separated	3	0	0
4	[2, 1, 1]	1	3	1	4	Nested	3	0	2
4	[2, 1, 1]	1	3	2	3	Nested	3	0	2
4	[2, 1, 1]	1	3	2	4	Overlapping	3	0	0
4	[2, 1, 1]	1	3	3	4	Adjacent	3	0	2
4	[2, 1, 1]	1	4	2	3	Nested	3	0	0
4	[2, 1, 1]	1	4	2	4	Nested	3	0	2
4	[2, 1, 1]	1	4	3	4	Nested	3	0	2
4	[2, 1, 1]	2	3	2	4	Nested	3	0	2
4	[2, 1, 1]	2	3	3	4	Adjacent	3	0	2
4	[2, 1, 1]	2	4	3	4	Nested	3	0	2
4	[1, 1, 1, 1]	1	2	1	3	Nested	1	0	0
4	[1, 1, 1, 1]	1	2	1	4	Nested	1	0	0
4	[1, 1, 1, 1]	1	2	2	3	Adjacent	1	0	0
4	[1, 1, 1, 1]	1	2	2	4	Adjacent	1	0	0
4	[1, 1, 1, 1]	1	2	3	4	Separated	1	0	0
4	[1, 1, 1, 1]	1	3	1	4	Nested	1	0	0
4	[1, 1, 1, 1]	1	3	2	3	Nested	1	0	0
4	[1, 1, 1, 1]	1	3	2	4	Overlapping	1	0	0
4	[1, 1, 1, 1]	1	3	3	4	Adjacent	1	0	0
4	[1, 1, 1, 1]	1	4	2	3	Nested	1	0	0
4	[1, 1, 1, 1]	1	4	2	4	Nested	1	0	0
4	[1, 1, 1, 1]	1	4	3	4	Nested	1	0	0
4	[1, 1, 1, 1]	2	3	2	4	Nested	1	0	0
4	[1, 1, 1, 1]	2	3	3	4	Adjacent	1	0	0
4	[1, 1, 1, 1]	2	4	3	4	Nested	1	0	0
5	[5]	1	2	1	3	Nested	1	1	0
5	[5]	1	2	1	4	Nested	1	1	0
5	[5]	1	2	1	5	Nested	1	1	0
5	[5]	1	2	2	3	Adjacent	1	1	0
5	[5]	1	2	2	4	Adjacent	1	1	0
5	[5]	1	2	2	5	Adjacent	1	1	0
5	[5]	1	2	3	4	Separated	1	1	0
5	[5]	1	2	3	5	Separated	1	1	0
5	[5]	1	2	4	5	Separated	1	1	0
5	[5]	1	3	1	4	Nested	1	1	0
5	[5]	1	3	1	5	Nested	1	1	0
5	[5]	1	3	2	3	Nested	1	1	0
5	[5]	1	3	2	4	Overlapping	1	1	0
5	[5]	1	3	2	5	Overlapping	1	1	0
5	[5]	1	3	3	4	Adjacent	1	1	0
5	[5]	1	3	3	5	Adjacent	1	1	0
5	[5]	1	3	4	5	Separated	1	1	0
5	[5]	1	4	1	5	Nested	1	1	0
5	[5]	1	4	2	3	Nested	1	1	0
5	[5]	1	4	2	4	Nested	1	1	0
5	[5]	1	4	2	5	Overlapping	1	1	0
5	[5]	1	4	3	4	Nested	1	1	0
5	[5]	1	4	3	5	Overlapping	1	1	0
5	[5]	1	4	4	5	Adjacent	1	1	0
5	[5]	1	5	2	3	Nested	1	1	0
5	[5]	1	5	2	4	Nested	1	1	0
5	[5]	1	5	2	5	Nested	1	1	0
5	[5]	1	5	3	4	Nested	1	1	0
5	[5]	1	5	3	5	Nested	1	1	0
5	[5]	1	5	4	5	Nested	1	1	0
5	[5]	2	3	2	4	Nested	1	1	0
5	[5]	2	3	2	5	Nested	1	1	0
5	[5]	2	3	3	4	Adjacent	1	1	0
5	[5]	2	3	3	5	Adjacent	1	1	0
5	[5]	2	3	4	5	Separated	1	1	0
5	[5]	2	4	2	5	Nested	1	1	0
5	[5]	2	4	3	4	Nested	1	1	0
5	[5]	2	4	3	5	Overlapping	1	1	0
5	[5]	2	4	4	5	Adjacent	1	1	0
5	[5]	2	5	3	4	Nested	1	1	0
5	[5]	2	5	3	5	Nested	1	1	0
5	[5]	2	5	4	5	Nested	1	1	0
5	[5]	3	4	3	5	Nested	1	1	0
5	[5]	3	4	4	5	Adjacent	1	1	0
5	[5]	3	5	4	5	Nested	1	1	0
5	[4, 1]	1	2	1	3	Nested	4	2	2
5	[4, 1]	1	2	1	4	Nested	4	1	2
5	[4, 1]	1	2	1	5	Nested	4	1	2
5	[4, 1]	1	2	2	3	Adjacent	4	2	2
5	[4, 1]	1	2	2	4	Adjacent	4	2	2
5	[4, 1]	1	2	2	5	Adjacent	4	1	2
5	[4, 1]	1	2	3	4	Separated	4	2	0
5	[4, 1]	1	2	3	5	Separated	4	2	0
5	[4, 1]	1	2	4	5	Separated	4	2	0
5	[4, 1]	1	3	1	4	Nested	4	1	2
5	[4, 1]	1	3	1	5	Nested	4	1	2
5	[4, 1]	1	3	2	3	Nested	4	2	2
5	[4, 1]	1	3	2	4	Overlapping	4	2	0
5	[4, 1]	1	3	2	5	Overlapping	4	1	2
5	[4, 1]	1	3	3	4	Adjacent	4	2	2
5	[4, 1]	1	3	3	5	Adjacent	4	2	2
5	[4, 1]	1	3	4	5	Separated	4	2	0
5	[4, 1]	1	4	1	5	Nested	4	0	4
5	[4, 1]	1	4	2	3	Nested	4	2	0
5	[4, 1]	1	4	2	4	Nested	4	1	2
5	[4, 1]	1	4	2	5	Overlapping	4	0	4
5	[4, 1]	1	4	3	4	Nested	4	1	2
5	[4, 1]	1	4	3	5	Overlapping	4	1	2
5	[4, 1]	1	4	4	5	Adjacent	4	1	2
5	[4, 1]	1	5	2	3	Nested	4	1	2
5	[4, 1]	1	5	2	4	Nested	4	2	0
5	[4, 1]	1	5	2	5	Nested	4	0	4
5	[4, 1]	1	5	3	4	Nested	4	1	2
5	[4, 1]	1	5	3	5	Nested	4	1	2
5	[4, 1]	1	5	4	5	Nested	4	1	2
5	[4, 1]	2	3	2	4	Nested	4	2	2
5	[4, 1]	2	3	2	5	Nested	4	1	2
5	[4, 1]	2	3	3	4	Adjacent	4	2	2
5	[4, 1]	2	3	3	5	Adjacent	4	2	2
5	[4, 1]	2	3	4	5	Separated	4	2	0
5	[4, 1]	2	4	2	5	Nested	4	1	2
5	[4, 1]	2	4	3	4	Nested	4	2	2
5	[4, 1]	2	4	3	5	Overlapping	4	2	0
5	[4, 1]	2	4	4	5	Adjacent	4	2	2
5	[4, 1]	2	5	3	4	Nested	4	2	0
5	[4, 1]	2	5	3	5	Nested	4	1	2
5	[4, 1]	2	5	4	5	Nested	4	1	2
5	[4, 1]	3	4	3	5	Nested	4	2	2
5	[4, 1]	3	4	4	5	Adjacent	4	2	2
5	[4, 1]	3	5	4	5	Nested	4	2	2
5	[3, 2]	1	2	1	3	Nested	5	1	4
5	[3, 2]	1	2	1	4	Nested	5	1	2
5	[3, 2]	1	2	1	5	Nested	5	1	2
5	[3, 2]	1	2	2	3	Adjacent	5	1	4
5	[3, 2]	1	2	2	4	Adjacent	5	1	4
5	[3, 2]	1	2	2	5	Adjacent	5	1	4
5	[3, 2]	1	2	3	4	Separated	5	2	0
5	[3, 2]	1	2	3	5	Separated	5	2	0
5	[3, 2]	1	2	4	5	Separated	5	2	0
5	[3, 2]	1	3	1	4	Nested	5	1	2
5	[3, 2]	1	3	1	5	Nested	5	1	4
5	[3, 2]	1	3	2	3	Nested	5	1	4
5	[3, 2]	1	3	2	4	Overlapping	5	2	0
